Ch1 Amplitude,Ch2 Amplitude,Cluster
35.18651,653.732239,1
35.2193451,758.186157,1
35.2207,718.371765,1
35.2323532,730.3759,1
35.2713661,707.735657,1
35.28869,706.8712,1
35.30035,749.301453,1
35.3474,701.100647,1
35.434803,733.9612,1
35.436245,677.8258,1
35.5150146,720.4718,1
35.5356827,674.362,1
35.5961037,734.5417,1
35.6084366,715.6149,1
35.61975,658.702148,1
35.7117157,697.765,1
35.72241,677.3593,1
35.73024,691.6094,1
35.74211,750.5367,1
35.7764359,696.8804,1
35.8242722,717.2738,1
35.825058,720.9153,1
35.8576927,711.569,1
35.91772,691.6196,1
36.1553421,705.452332,1
36.1898422,704.8132,1
36.2415,744.5906,1
36.2652779,748.636841,1
36.33412,679.864136,1
36.3361969,711.0438,1
36.3737259,702.334534,1
36.3790359,687.042664,1
36.3962326,691.215942,1
36.4163246,715.798,1
36.4557076,673.97345,1
36.58882,708.3428,1
36.5933838,689.7034,1
36.6313629,697.193054,1
36.63463,719.0523,1
36.63466,676.358459,1
36.6746368,731.894348,1
36.75556,686.678162,1
36.7675133,697.582764,1
36.77776,766.255,1
36.8089256,710.165,1
36.86892,659.5001,1
36.90449,709.4451,1
36.9127159,674.3287,1
36.9263573,733.17804,1
36.97949,700.3046,1
37.0490952,731.6057,1
37.07611,732.6723,1
37.08676,711.2382,1
37.1140976,656.407,1
37.1286774,691.8729,1
37.21331,686.285767,1
37.27283,757.021057,1
37.275322,686.983337,1
37.3590965,762.535,1
37.50066,715.513733,1
37.55173,651.4824,1
37.5530357,712.527,1
37.6457825,633.3119,1
37.65823,656.0327,1
37.6642952,721.187866,1
37.68402,720.6587,1
37.6840858,706.15094,1
37.70109,731.24884,1
37.83117,673.8257,1
37.9284973,692.1197,1
37.9426537,708.144043,1
37.9525223,760.3281,1
37.9647751,713.238037,1
37.9740219,670.3603,1
37.9744072,708.489868,1
37.9993629,628.9958,1
38.0061646,725.248535,1
38.04936,680.2875,1
38.0666,701.51,1
38.0774651,685.6423,1
38.0852776,647.9332,1
38.08809,723.6232,1
38.09644,651.2403,1
38.11314,759.9517,1
38.297184,669.203064,1
38.32781,674.4293,1
38.33265,703.073,1
38.35394,763.029,1
38.3836861,718.0569,1
38.3990555,662.603,1
38.4198837,759.0031,1
38.4402962,728.9766,1
38.4732475,728.3567,1
38.4792061,681.2182,1
38.49107,739.086731,1
38.501133,732.233154,1
38.5223541,708.315063,1
38.5737877,671.484558,1
38.58518,753.5706,1
38.5891876,667.9343,1
38.5969772,666.5626,1
38.6722565,688.6494,1
38.69866,678.050964,1
38.70845,694.8203,1
38.7245064,726.2531,1
38.7306747,705.4052,1
38.7482452,711.9602,1
38.75782,706.711853,1
38.77228,678.16156,1
38.7763,744.7605,1
38.79302,685.8795,1
38.841217,742.4837,1
38.8416328,670.243164,1
38.86854,707.940857,1
38.8944855,680.5106,1
38.9305649,723.6166,1
38.93571,666.176147,1
38.9388161,716.5914,1
38.9389458,673.8659,1
38.9423676,714.4095,1
38.9451332,674.847961,1
38.94702,732.0692,1
38.9667969,709.982056,1
38.9919357,672.678833,1
38.9923248,702.863037,1
38.9988861,675.379,1
39.00861,665.9878,1
39.0390739,702.7018,1
39.04747,743.5506,1
39.0482521,690.840332,1
39.1057854,668.2732,1
39.11202,671.1548,1
39.11472,688.617554,1
39.1399,748.848267,1
39.1746178,713.0835,1
39.18203,691.876953,1
39.1822433,705.112,1
39.1959724,706.9327,1
39.207634,684.462,1
39.31422,672.2539,1
39.3481064,693.658936,1
39.37067,702.1569,1
39.38903,676.506836,1
39.40668,674.070435,1
39.4081154,660.23114,1
39.418972,717.9411,1
39.4704742,683.820068,1
39.4707222,686.394165,1
39.519104,756.2574,1
39.5274544,692.9384,1
39.55186,694.6944,1
39.60775,692.7534,1
39.6671524,702.912,1
39.6750679,698.731262,1
39.70427,705.0563,1
39.723217,697.2434,1
39.7591324,701.4717,1
39.77364,641.654846,1
39.7745132,681.034546,1
39.79966,673.9231,1
39.8132935,732.172241,1
39.8537,717.9421,1
39.8603973,698.566467,1
39.8853378,664.4552,1
39.90445,644.2345,1
39.9736557,684.3534,1
39.99572,715.360352,1
40.00161,673.970337,1
40.0122223,667.2567,1
40.0161324,693.9179,1
40.04675,721.320251,1
40.0654068,675.1983,1
40.0732765,661.782,1
40.0765877,706.3051,1
40.1205063,685.417542,1
40.14698,715.5395,1
40.1596,648.595947,1
40.1606865,678.1849,1
40.17734,677.9392,1
40.196312,695.7648,1
40.2242775,682.8622,1
40.2509537,637.516968,1
40.26,693.4541,1
40.2993164,724.282532,1
40.31778,642.3229,1
40.3582077,710.1226,1
40.3599129,699.3134,1
40.36955,664.7278,1
40.3964462,685.670044,1
40.4474335,652.652344,1
40.4506836,734.627747,1
40.4601059,720.4183,1
40.4843445,674.500549,1
40.49538,705.2695,1
40.51433,678.5474,1
40.53206,636.1093,1
40.546032,650.176758,1
40.5807037,679.6455,1
40.5818825,713.171936,1
40.62015,709.7753,1
40.6366234,677.0449,1
40.6385078,738.4173,1
40.6401138,662.7364,1
40.64773,733.0624,1
40.6519165,712.6741,1
40.65582,720.986267,1
40.6634865,693.201965,1
40.6981354,741.874146,1
40.70542,682.4186,1
40.7213631,705.7453,1
40.75463,683.5485,1
40.75749,641.8238,1
40.8220978,624.258667,1
40.8426781,641.713745,1
40.8490639,695.4702,1
40.8881073,694.723755,1
40.93255,741.4429,1
41.0020447,739.09906,1
41.0130959,742.3803,1
41.0155373,693.9097,1
41.064064,721.5452,1
41.08386,724.430237,1
41.0979843,683.078369,1
41.1218147,653.5515,1
41.12284,665.413147,1
41.15194,687.113831,1
41.17995,678.5552,1
41.20929,713.5038,1
41.2246933,751.930054,1
41.2255135,680.2421,1
41.2455368,655.7671,1
41.24565,701.0658,1
41.26912,702.636841,1
41.27119,723.754333,1
