x-coordinate_in_pixel, y-coordinate_in_pixel, Chan1_FluoValue, Chan2_FluoValue, Chan3_FluoValue, index
1563, 399, 17013, 6888, 3467, 201
1760, 377, 17047, 7235, 3438, 202
786, 380, 16866, 7424, 3622, 203
2156, 298, 16255, 6845, 3360, 204
1821, 432, 17191, 6893, 3284, 205
1235, 345, 18029, 7596, 3540, 206
1901, 392, 17291, 6944, 3336, 207
1209, 755, 16032, 6907, 3254, 208
1647, 366, 17080, 7044, 3534, 209
2242, 297, 16309, 6903, 3382, 210
759, 378, 15443, 6698, 3196, 211
584, 716, 17799, 7284, 3494, 212
1975, 391, 17360, 7248, 3385, 213
1169, 431, 18128, 7669, 3604, 214
893, 529, 18124, 7681, 3633, 215
2205, 299, 16308, 6942, 3317, 216
1839, 440, 17659, 7174, 3463, 217
1847, 344, 16992, 6990, 3478, 218
2050, 409, 17032, 7014, 3328, 219
2016, 366, 16986, 7006, 3426, 220
1580, 513, 17726, 7344, 3767, 221
1052, 344, 17853, 7429, 3543, 222
1219, 493, 17533, 7543, 3564, 223
1521, 409, 26943, 7290, 3480, 224
431, 547, 15797, 6790, 3230, 225
789, 530, 17565, 7407, 3727, 226
2185, 305, 16502, 6995, 3323, 227
849, 757, 17434, 7258, 3514, 228
2164, 431, 16719, 7183, 3445, 229
995, 400, 17988, 7604, 3513, 230
1052, 377, 17907, 7505, 3508, 231
2232, 303, 16173, 6916, 3394, 232
394, 556, 16248, 6976, 3211, 233
2251, 303, 15751, 6869, 3344, 234
638, 410, 15457, 7240, 3352, 235
1033, 783, 14988, 6303, 3077, 236
659, 400, 24337, 7286, 3402, 237
1720, 346, 16919, 7033, 3510, 238
697, 390, 15350, 6996, 3429, 239
2167, 526, 16611, 6936, 3337, 240
1501, 378, 17320, 7192, 3436, 241
461, 520, 15098, 6546, 3102, 242
952, 441, 18315, 7699, 3702, 243
1535, 520, 26790, 7349, 3517, 244
2195, 305, 16507, 6905, 3421, 245
868, 345, 18312, 7531, 3689, 246
2131, 512, 16732, 6728, 3265, 247
1072, 410, 18291, 7598, 3670, 248
1215, 367, 17512, 7395, 3492, 249
2214, 305, 16154, 6870, 3211, 250
926, 374, 17481, 7320, 3655, 251
1603, 373, 17386, 6938, 3426, 252
2174, 306, 16813, 6896, 3378, 253
1082, 438, 18053, 7618, 3636, 254
2176, 553, 16848, 7036, 3428, 255
1594, 347, 17197, 7206, 3507, 256
706, 384, 15518, 6800, 3355, 257
2045, 526, 26987, 7278, 3380, 258
1387, 346, 17051, 7261, 3521, 259
2163, 307, 16142, 6807, 3384, 260
1434, 406, 17141, 7252, 3363, 261
2212, 374, 16783, 6954, 3360, 262
1249, 510, 18051, 7492, 3585, 263
2157, 345, 16328, 6827, 3279, 264
1434, 374, 26182, 7480, 3508, 265
2152, 308, 16278, 6833, 3292, 266
1706, 511, 17858, 7576, 3590, 267
2024, 345, 27968, 7137, 3354, 268
2133, 406, 16733, 7000, 3334, 269
1812, 378, 17222, 7094, 3495, 270
2241, 309, 16583, 6985, 3453, 271
1491, 438, 26434, 7225, 3403, 272
2241, 379, 16718, 7133, 3448, 273
1772, 346, 27250, 7116, 3349, 274
1538, 385, 17109, 6991, 3552, 275
752, 531, 17668, 7436, 3571, 276
2131, 310, 26502, 7223, 3513, 277
650, 444, 15500, 7334, 3522, 278
663, 736, 17283, 7410, 3541, 279
2142, 309, 17020, 7114, 3383, 280
1491, 406, 17035, 7181, 3433, 281
2224, 310, 15938, 6901, 3260, 282
937, 379, 17871, 7577, 3579, 283
1679, 344, 16906, 6971, 3439, 284
1651, 490, 18058, 7351, 3636, 285
840, 387, 18192, 7280, 3558, 286
2124, 757, 17347, 7320, 3369, 287
911, 506, 17765, 7123, 3610, 288
1013, 411, 17561, 7353, 3476, 289
1703, 1200, 15255, 6627, 3246, 290
1196, 346, 17624, 7420, 3480, 291
2205, 310, 16142, 6909, 3329, 292
1463, 411, 16919, 7083, 3539, 293
1272, 432, 18380, 7843, 3692, 294
972, 344, 18557, 7799, 3615, 295
2019, 385, 16822, 7028, 3407, 296
408, 532, 17911, 7504, 3496, 297
2186, 364, 15890, 6731, 3352, 298
487, 785, 17060, 6897, 3435, 299
1092, 443, 17727, 7651, 3503, 300
531, 508, 15923, 7105, 3323, 301
1951, 347, 17155, 7113, 3483, 302
620, 412, 15601, 6959, 3407, 303
971, 334, 18611, 7877, 3702, 304
213, 740, 17003, 6946, 3322, 305
1741, 399, 17203, 7246, 3530, 306
1368, 378, 16723, 7116, 3461, 307
441, 513, 15565, 7154, 3440, 308
1444, 500, 17602, 7497, 3439, 309
1522, 398, 16347, 6617, 3356, 310
1713, 366, 27352, 7482, 3427, 311
1216, 313, 17803, 7522, 3631, 312
1780, 430, 17628, 7040, 3503, 313
907, 313, 25391, 6713, 3403, 314
641, 430, 15478, 7145, 3361, 315
1269, 442, 19061, 7742, 3672, 316
1196, 391, 22563, 8054, 3625, 317
1405, 546, 17649, 7576, 3670, 318
2253, 327, 16167, 6729, 3384, 319
1042, 394, 17746, 7245, 3627, 320
1547, 518, 17500, 7214, 3639, 321
1874, 1200, 15932, 6825, 3366, 322
2224, 343, 26381, 7150, 3401, 323
1177, 314, 17815, 7553, 3597, 324
1841, 411, 17405, 7053, 3464, 325
995, 366, 18856, 7856, 3712, 326
425, 775, 14583, 6010, 2972, 327
1482, 389, 17433, 7122, 3443, 328
1264, 328, 17966, 7386, 3557, 329
1838, 393, 17093, 7103, 3491, 330
576, 745, 17899, 7615, 3534, 331
1254, 366, 19696, 7779, 3485, 332
1302, 328, 17243, 7314, 3541, 333
1139, 392, 17900, 7538, 3561, 334
515, 520, 15475, 6630, 3170, 335
1139, 371, 25817, 7755, 3666, 336
2185, 315, 16353, 6654, 3282, 337
