Assay1 Amplitude,Assay2 Amplitude,Cluster
961.7267,,1
962.7484,,1
962.232056,,1
962.459656,,1
962.73645,,1
962.1314,,1
962.203064,,1
962.915955,,1
962.96106,,1
962.0476,,1
962.928955,,1
962.4173,,1
962.1763,,1
962.0477,,1
963.3279,,1
963.346,,1
963.6028,,1
963.500366,,1
963.993958,,1
963.7306,,1
963.529541,,1
963.744,,1
964.1452,,1
964.8124,,1
964.4126,,1
964.4423,,1
964.395264,,1
964.1016,,1
964.783936,,1
964.1909,,1
964.163,,1
964.3242,,1
964.4376,,1
964.7655,,1
964.4045,,1
964.5236,,1
965.4393,,1
965.184448,,1
965.2707,,1
965.8828,,1
965.652954,,1
965.8438,,1
965.587952,,1
965.0256,,1
965.313354,,1
965.5375,,1
965.2242,,1
965.660645,,1
965.9249,,1
965.4276,,1
965.312561,,1
965.756348,,1
966.644958,,1
966.637939,,1
966.841064,,1
966.946045,,1
966.9607,,1
966.4926,,1
966.0599,,1
966.240234,,1
966.167847,,1
966.717957,,1
966.829346,,1
966.6569,,1
966.6257,,1
966.715149,,1
966.7827,,1
966.217468,,1
966.987549,,1
966.8996,,1
967.773132,,1
967.890869,,1
967.7415,,1
967.5164,,1
967.779,,1
967.7863,,1
967.62616,,1
967.730957,,1
967.7373,,1
967.2952,,1
967.2612,,1
967.4936,,1
967.9423,,1
967.994141,,1
967.2957,,1
967.0263,,1
967.4462,,1
967.348755,,1
968.327,,1
968.322937,,1
968.7882,,1
968.3597,,1
968.47644,,1
968.3973,,1
968.4043,,1
968.2875,,1
968.5261,,1
968.0692,,1
968.0794,,1
968.3696,,1
968.977966,,1
968.7559,,1
968.2632,,1
968.7002,,1
968.236938,,1
968.592346,,1
968.904053,,1
969.093,,1
969.4459,,1
969.9042,,1
969.2461,,1
969.544861,,1
969.097168,,1
969.254456,,1
969.664856,,1
969.8099,,1
969.791565,,1
969.0039,,1
969.612,,1
969.4798,,1
969.081543,,1
969.4499,,1
969.8622,,1
969.6136,,1
970.133,,1
970.3326,,1
970.840637,,1
970.343445,,1
970.3555,,1
970.934143,,1
970.6658,,1
970.4105,,1
970.4871,,1
970.0739,,1
970.6869,,1
970.6053,,1
970.465149,,1
970.882,,1
970.262146,,1
